Occu,Year,sGrassHt2019,sLichen2019,sReliefPlot,sRelief200L,sOIS,PreFlood,OIS,GrassHt2019,Lichen2019,ReliefPlotL,Relief200mL
1,2019,-0.833017098,0.643131525,-0.01229044,-0.01229044,-0.831139985,1,2,3.665,54,0.009950331,0.009950331
1,2019,2.252190582,1.406697838,0.8829281,0.8829281,2.648086885,1,35,13.315,72,1.506297154,2.862772146
0,2019,0.226823675,0.006826263,-2.773375898,-2.773375898,1.066620126,1,20,6.98,39,-4.605170186,0.009950331
0,2019,-0.972091227,-0.75674005,-0.01229044,-0.01229044,-0.409415516,1,6,3.23,21,0.009950331,1.611435915
0,2019,-0.865947294,0.176507666,0.228309182,0.228309182,-1.042002219,1,0,3.562,43,0.412109651,0.412109651
0,2019,1.532841641,-1.647567416,-2.773375898,-2.773375898,1.172051243,1,21,11.065,0,-4.605170186,-4.605170186
1,2019,3.147380375,-0.120434789,0.8829281,0.8829281,2.542655767,1,34,16.115,36,1.506297154,2.862772146
1,2019,-0.153631987,1.533958891,-0.421084872,-0.421084872,-0.936571102,1,1,5.79,75,-0.673344553,0.009950331
1,2019,1.035691595,0.176507666,1.054707759,1.054707759,-1.042002219,1,0,9.51,43,1.793424749,3.555633735
0,2019,-0.463751308,1.109755383,-2.773375898,-2.773375898,-0.514846633,1,5,4.82,65,-4.605170186,-4.605170186
0,2019,-0.377109725,1.746060644,-2.773375898,-2.773375898,0.223171188,1,12,5.091,80,-4.605170186,1.101940079
0,2019,0.073362567,-1.477886013,-2.773375898,-2.773375898,-0.62027775,1,4,6.5,4,-4.605170186,-4.605170186
0,2019,-0.355049691,-1.477886013,0.641013629,0.641013629,-0.725708868,1,3,5.16,4,1.101940079,1.611435915
1,2019,1.689499855,-1.605147066,1.516747367,1.516747367,0.012308953,1,10,11.555,1,2.565718293,4.127295662
1,2019,0.829478232,-0.417377244,1.416887621,1.416887621,2.331793533,1,32,8.865,29,2.398803951,3.737907685
1,2019,0.911004445,-0.20527549,0.399429234,0.399429234,2.43722465,1,33,9.12,34,0.698134722,1.101940079
1,2019,-0.305494541,1.109755383,-0.718926377,-0.718926377,-0.514846633,1,5,5.315,65,-1.171182982,-0.673344553
1,2019,0.003026227,-0.968841804,1.054707759,1.054707759,-0.725708868,1,3,6.28,16,1.793424749,3.555633735
1,2019,-1.37332808,0.558290823,-0.01229044,-0.01229044,-1.042002219,1,0,1.975,52,0.009950331,0.009950331
1,2019,-0.858593949,1.024914682,0.812627907,0.812627907,-0.62027775,1,4,3.585,63,1.388791241,3.555633735
1,2019,-0.504993981,-0.078014438,0.732953255,0.732953255,1.172051243,1,21,4.691,37,1.255616037,2.63977136
1,2019,1.737456451,0.558290823,-0.01229044,-0.01229044,-0.936571102,1,1,11.705,52,0.009950331,1.388791241
1,2019,-0.431780244,0.176507666,-0.01229044,-0.01229044,-0.409415516,1,6,4.92,43,0.009950331,0.698134722
0,2019,-0.855396843,1.873321697,1.054707759,1.054707759,-0.514846633,1,5,3.595,83,1.793424749,3.17847041
0,2019,-1.411693357,0.431029771,-0.01229044,-0.01229044,-1.042002219,1,0,1.855,49,0.009950331,1.101940079
1,2019,2.453608285,0.38860942,-0.01229044,-0.01229044,1.488344595,1,24,13.945,48,0.009950331,0.009950331
0,2019,-1.214751603,-0.841580752,-0.01229044,-0.01229044,-1.042002219,1,0,2.471,19,0.009950331,0.009950331
1,2019,1.727865131,-0.417377244,1.054707759,1.054707759,0.750326774,1,17,11.675,29,1.793424749,3.044998515
0,2019,-0.75676611,-1.647567416,0.641013629,0.641013629,-0.936571102,1,1,3.9035,0,1.101940079,1.388791241
1,2019,-0.177610285,-1.647567416,-0.01229044,-0.01229044,-0.936571102,1,1,5.715,0,0.009950331,0.009950331
0,2019,-0.062514455,0.218928017,0.399429234,0.399429234,-0.831139985,1,2,6.075,44,0.698134722,1.947337701
0,2019,0.626461975,-1.223363909,-0.01229044,-0.01229044,-0.936571102,1,1,8.23,10,0.009950331,0.009950331
1,2019,-0.081697093,0.855233279,0.399429234,0.399429234,-0.62027775,1,4,6.015,59,0.698134722,0.698134722
0,2019,-0.749892332,0.558290823,0.399429234,0.399429234,0.539464539,1,15,3.925,52,0.698134722,2.862772146
0,2019,-0.677318016,1.024914682,-0.01229044,-0.01229044,-0.62027775,1,4,4.152,63,0.009950331,0.920282753
1,2019,0.271583165,0.38860942,0.812627907,0.812627907,0.539464539,1,15,7.12,48,1.388791241,2.741484977
1,2019,0.798146589,0.770392577,-0.01229044,-0.01229044,-0.831139985,1,2,8.767,57,0.009950331,0.009950331
0,2019,-0.872980928,0.982494331,-0.01229044,-0.01229044,-1.042002219,1,0,3.54,62,0.009950331,0.009950331
0,2019,-0.412597606,0.218928017,-2.773375898,-2.773375898,-0.725708868,1,3,4.98,44,-4.605170186,-4.605170186
0,2019,0.60408223,-0.290116192,-0.01229044,-0.01229044,-0.303984399,1,7,8.16,32,0.009950331,0.009950331
1,2019,0.72876938,-0.799160401,-0.01229044,-0.01229044,-0.936571102,1,1,8.55,20,0.009950331,0.698134722
0,2019,-0.60921965,1.576379241,-0.01229044,-0.01229044,-1.042002219,1,0,4.365,76,0.009950331,0.009950331
0,2019,0.600885124,0.006826263,-0.01229044,-0.01229044,2.015500181,1,29,8.15,39,0.009950331,0.009950331
1,2019,0.156487334,1.109755383,-0.01229044,-0.01229044,0.328602305,1,13,6.76,65,0.009950331,2.862772146
1,2019,1.913297303,1.152175734,1.226570229,1.226570229,1.488344595,1,24,12.255,66,2.080690761,3.434309733
0,2019,0.030201631,-0.035594087,0.641013629,0.641013629,-0.831139985,1,2,6.365,38,1.101940079,1.388791241
1,2019,0.068566908,0.812812928,-0.01229044,-0.01229044,6.232744871,1,69,6.485,58,0.009950331,0.009950331
0,2019,-1.031237695,-1.138523207,-0.01229044,-0.01229044,-0.725708868,1,3,3.045,12,0.009950331,0.009950331
0,2019,-0.081697093,-1.265784259,-0.01229044,-0.01229044,0.11774007,1,11,6.015,9,0.009950331,2.352327185
1,2019,-1.301393186,1.067335032,-0.01229044,-0.01229044,-1.042002219,1,0,2.2,64,0.009950331,0.698134722
1,2019,-0.970492673,-0.7143197,-0.01229044,-0.01229044,-0.303984399,1,7,3.235,22,0.009950331,0.412109651
1,2019,-0.36464101,1.533958891,-0.01229044,-0.01229044,-1.042002219,1,0,5.13,75,0.009950331,0.009950331
0,2019,-0.129653689,-1.647567416,-2.773375898,-2.773375898,-1.042002219,1,0,5.865,0,-4.605170186,-4.605170186
1,2019,-0.855396843,1.152175734,-0.01229044,-0.01229044,-1.042002219,1,0,3.595,66,0.009950331,0.009950331
1,2019,0.68880555,-0.671899349,1.329265038,1.329265038,1.172051243,1,21,8.425,23,2.252343877,3.637849283
1,2019,-0.257537945,0.600711174,-0.01229044,-0.01229044,-0.62027775,1,4,5.465,53,0.009950331,0.009950331
1,2019,0.306751335,0.303768719,1.054707759,1.054707759,-1.042002219,1,0,7.23,46,1.793424749,3.17847041
1,2019,0.588096698,0.218928017,-0.01229044,-0.01229044,-0.303984399,1,7,8.11,44,0.009950331,1.101940079
1,2019,0.367496357,0.727972226,-0.01229044,-0.01229044,1.910069064,1,28,7.42,56,0.009950331,0.698134722
0,2019,-0.538883309,-1.647567416,-0.01229044,-0.01229044,-1.042002219,1,0,4.585,0,0.009950331,0.412109651
0,2019,-0.105675391,-0.078014438,1.296953222,1.296953222,-0.62027775,1,4,5.94,37,2.198335072,3.17847041
1,2019,-0.407162525,0.261348368,-0.01229044,-0.01229044,-0.725708868,1,3,4.997,45,0.009950331,0.009950331
1,2019,-0.793692689,0.261348368,0.812627907,0.812627907,-0.514846633,1,5,3.788,45,1.388791241,1.793424749
0,2019,-1.229458292,-0.374956893,-0.01229044,-0.01229044,-0.62027775,1,4,2.425,30,0.009950331,0.009950331
0,2019,-0.003367986,0.049246614,-0.01229044,-0.01229044,1.27748236,1,22,6.26,40,0.009950331,0.009950331
1,2019,0.011338703,0.643131525,-0.01229044,-0.01229044,-0.409415516,1,6,6.306,54,0.009950331,0.009950331
0,2019,-0.713125608,1.406697838,0.095798913,0.095798913,-0.831139985,1,2,4.04,72,0.19062036,0.19062036
1,2019,2.015604708,0.38860942,-0.01229044,-0.01229044,2.120931298,1,30,12.575,48,0.009950331,0.009950331
0,2019,-0.231321673,1.237016435,-0.01229044,-0.01229044,-0.831139985,1,2,5.547,68,0.009950331,0.009950331
0,2019,-0.936923056,-1.647567416,-0.421084872,-0.421084872,-0.936571102,1,1,3.34,0,-0.673344553,1.611435915
0,2019,1.061268446,-1.350624961,0.399429234,0.399429234,0.11774007,1,11,9.59,7,0.698134722,0.698134722
0,2019,2.018801814,-0.671899349,-0.01229044,-0.01229044,4.545846995,1,53,12.585,23,0.009950331,2.862772146
0,2019,-1.016850716,-1.138523207,-0.01229044,-0.01229044,-1.042002219,1,0,3.09,12,0.009950331,0.009950331
1,2019,1.79180726,-0.799160401,1.389081994,1.389081994,3.386104705,1,42,11.875,20,2.352327185,3.737907685
1,2019,0.536942996,0.006826263,-0.01229044,-0.01229044,1.382913477,1,23,7.95,39,0.009950331,0.698134722
1,2019,-1.633892252,1.533958891,-0.01229044,-0.01229044,5.494727051,1,62,1.16,75,0.009950331,0.009950331
0,2019,-0.08009854,0.134087316,-0.01229044,-0.01229044,-0.093122164,1,9,6.02,42,0.009950331,0.009950331
0,2019,-0.923495209,-1.647567416,-0.01229044,-0.01229044,-1.042002219,1,0,3.382,0,0.009950331,0.009950331
1,2019,0.655235933,0.812812928,1.054707759,1.054707759,4.018691409,1,48,8.32,58,1.793424749,4.060615409
0,2019,-0.756286544,0.855233279,-0.01229044,-0.01229044,-0.936571102,1,1,3.905,59,0.009950331,0.009950331
0,2019,-0.817031566,-1.562726715,0.641013629,0.641013629,-1.042002219,1,0,3.715,2,1.101940079,1.947337701
0,2019,-0.471744074,-0.502217946,-0.01229044,-0.01229044,-0.936571102,1,1,4.795,27,0.009950331,0.009950331
0,2019,-0.500518032,-1.180943558,-0.01229044,-0.01229044,-1.042002219,1,0,4.705,11,0.009950331,0.009950331
0,2019,-1.061610206,-1.647567416,-2.773375898,-2.773375898,-0.198553281,1,8,2.95,0,-4.605170186,-4.605170186
1,2019,-1.463806192,-0.078014438,-0.01229044,-0.01229044,1.172051243,1,21,1.692,37,0.009950331,0.009950331
1,2019,0.512005566,0.727972226,-0.01229044,-0.01229044,-1.042002219,1,0,7.872,56,0.009950331,0.009950331
1,2019,0.081355333,-1.096102856,-0.01229044,-0.01229044,-0.62027775,1,4,6.525,13,0.009950331,0.009950331
NA,2020,-0.833017098,0.643131525,-0.01229044,-0.01229044,0.001765841,0,9.9,3.665,54,0.009950331,0.009950331
NA,2020,2.252190582,1.406697838,0.8829281,0.8829281,0.001765841,0,9.9,13.315,72,1.506297154,2.862772146
NA,2020,0.226823675,0.006826263,-2.773375898,-2.773375898,0.001765841,0,9.9,6.98,39,-4.605170186,0.009950331
NA,2020,-0.972091227,-0.75674005,-0.01229044,-0.01229044,0.001765841,0,9.9,3.23,21,0.009950331,1.611435915
NA,2020,-0.865947294,0.176507666,0.228309182,0.228309182,0.001765841,0,9.9,3.562,43,0.412109651,0.412109651
NA,2020,1.532841641,-1.647567416,-2.773375898,-2.773375898,0.001765841,0,9.9,11.065,0,-4.605170186,-4.605170186
NA,2020,3.147380375,-0.120434789,0.8829281,0.8829281,0.001765841,0,9.9,16.115,36,1.506297154,2.862772146
NA,2020,-0.153631987,1.533958891,-0.421084872,-0.421084872,0.001765841,0,9.9,5.79,75,-0.673344553,0.009950331
NA,2020,1.035691595,0.176507666,1.054707759,1.054707759,0.001765841,0,9.9,9.51,43,1.793424749,3.555633735
NA,2020,-0.463751308,1.109755383,-2.773375898,-2.773375898,0.001765841,0,9.9,4.82,65,-4.605170186,-4.605170186
NA,2020,-0.377109725,1.746060644,-2.773375898,-2.773375898,0.001765841,0,9.9,5.091,80,-4.605170186,1.101940079
NA,2020,0.073362567,-1.477886013,-2.773375898,-2.773375898,0.001765841,0,9.9,6.5,4,-4.605170186,-4.605170186
NA,2020,-0.355049691,-1.477886013,0.641013629,0.641013629,0.001765841,0,9.9,5.16,4,1.101940079,1.611435915
NA,2020,1.689499855,-1.605147066,1.516747367,1.516747367,0.001765841,0,9.9,11.555,1,2.565718293,4.127295662
NA,2020,0.829478232,-0.417377244,1.416887621,1.416887621,0.001765841,0,9.9,8.865,29,2.398803951,3.737907685
NA,2020,0.911004445,-0.20527549,0.399429234,0.399429234,0.001765841,0,9.9,9.12,34,0.698134722,1.101940079
NA,2020,-0.305494541,1.109755383,-0.718926377,-0.718926377,0.001765841,0,9.9,5.315,65,-1.171182982,-0.673344553
NA,2020,0.003026227,-0.968841804,1.054707759,1.054707759,0.001765841,0,9.9,6.28,16,1.793424749,3.555633735
NA,2020,-1.37332808,0.558290823,-0.01229044,-0.01229044,0.001765841,0,9.9,1.975,52,0.009950331,0.009950331
NA,2020,-0.858593949,1.024914682,0.812627907,0.812627907,0.001765841,0,9.9,3.585,63,1.388791241,3.555633735
NA,2020,-0.504993981,-0.078014438,0.732953255,0.732953255,0.001765841,0,9.9,4.691,37,1.255616037,2.63977136
NA,2020,1.737456451,0.558290823,-0.01229044,-0.01229044,0.001765841,0,9.9,11.705,52,0.009950331,1.388791241
NA,2020,-0.431780244,0.176507666,-0.01229044,-0.01229044,0.001765841,0,9.9,4.92,43,0.009950331,0.698134722
NA,2020,-0.855396843,1.873321697,1.054707759,1.054707759,0.001765841,0,9.9,3.595,83,1.793424749,3.17847041
NA,2020,-1.411693357,0.431029771,-0.01229044,-0.01229044,0.001765841,0,9.9,1.855,49,0.009950331,1.101940079
NA,2020,2.453608285,0.38860942,-0.01229044,-0.01229044,0.001765841,0,9.9,13.945,48,0.009950331,0.009950331
NA,2020,-1.214751603,-0.841580752,-0.01229044,-0.01229044,0.001765841,0,9.9,2.471,19,0.009950331,0.009950331
NA,2020,1.727865131,-0.417377244,1.054707759,1.054707759,0.001765841,0,9.9,11.675,29,1.793424749,3.044998515
NA,2020,-0.75676611,-1.647567416,0.641013629,0.641013629,0.001765841,0,9.9,3.9035,0,1.101940079,1.388791241
NA,2020,-0.177610285,-1.647567416,-0.01229044,-0.01229044,0.001765841,0,9.9,5.715,0,0.009950331,0.009950331
NA,2020,-0.062514455,0.218928017,0.399429234,0.399429234,0.001765841,0,9.9,6.075,44,0.698134722,1.947337701
NA,2020,0.626461975,-1.223363909,-0.01229044,-0.01229044,0.001765841,0,9.9,8.23,10,0.009950331,0.009950331
NA,2020,-0.081697093,0.855233279,0.399429234,0.399429234,0.001765841,0,9.9,6.015,59,0.698134722,0.698134722
NA,2020,-0.749892332,0.558290823,0.399429234,0.399429234,0.001765841,0,9.9,3.925,52,0.698134722,2.862772146
NA,2020,-0.677318016,1.024914682,-0.01229044,-0.01229044,0.001765841,0,9.9,4.152,63,0.009950331,0.920282753
NA,2020,0.271583165,0.38860942,0.812627907,0.812627907,0.001765841,0,9.9,7.12,48,1.388791241,2.741484977
NA,2020,0.798146589,0.770392577,-0.01229044,-0.01229044,0.001765841,0,9.9,8.767,57,0.009950331,0.009950331
NA,2020,-0.872980928,0.982494331,-0.01229044,-0.01229044,0.001765841,0,9.9,3.54,62,0.009950331,0.009950331
NA,2020,-0.412597606,0.218928017,-2.773375898,-2.773375898,0.001765841,0,9.9,4.98,44,-4.605170186,-4.605170186
NA,2020,0.60408223,-0.290116192,-0.01229044,-0.01229044,0.001765841,0,9.9,8.16,32,0.009950331,0.009950331
NA,2020,0.72876938,-0.799160401,-0.01229044,-0.01229044,0.001765841,0,9.9,8.55,20,0.009950331,0.698134722
NA,2020,-0.60921965,1.576379241,-0.01229044,-0.01229044,0.001765841,0,9.9,4.365,76,0.009950331,0.009950331
NA,2020,0.600885124,0.006826263,-0.01229044,-0.01229044,0.001765841,0,9.9,8.15,39,0.009950331,0.009950331
NA,2020,0.156487334,1.109755383,-0.01229044,-0.01229044,0.001765841,0,9.9,6.76,65,0.009950331,2.862772146
NA,2020,1.913297303,1.152175734,1.226570229,1.226570229,0.001765841,0,9.9,12.255,66,2.080690761,3.434309733
NA,2020,0.030201631,-0.035594087,0.641013629,0.641013629,0.001765841,0,9.9,6.365,38,1.101940079,1.388791241
NA,2020,0.068566908,0.812812928,-0.01229044,-0.01229044,0.001765841,0,9.9,6.485,58,0.009950331,0.009950331
NA,2020,-1.031237695,-1.138523207,-0.01229044,-0.01229044,0.001765841,0,9.9,3.045,12,0.009950331,0.009950331
NA,2020,-0.081697093,-1.265784259,-0.01229044,-0.01229044,0.001765841,0,9.9,6.015,9,0.009950331,2.352327185
NA,2020,-1.301393186,1.067335032,-0.01229044,-0.01229044,0.001765841,0,9.9,2.2,64,0.009950331,0.698134722
NA,2020,-0.970492673,-0.7143197,-0.01229044,-0.01229044,0.001765841,0,9.9,3.235,22,0.009950331,0.412109651
NA,2020,-0.36464101,1.533958891,-0.01229044,-0.01229044,0.001765841,0,9.9,5.13,75,0.009950331,0.009950331
NA,2020,-0.129653689,-1.647567416,-2.773375898,-2.773375898,0.001765841,0,9.9,5.865,0,-4.605170186,-4.605170186
NA,2020,-0.855396843,1.152175734,-0.01229044,-0.01229044,0.001765841,0,9.9,3.595,66,0.009950331,0.009950331
NA,2020,0.68880555,-0.671899349,1.329265038,1.329265038,0.001765841,0,9.9,8.425,23,2.252343877,3.637849283
NA,2020,-0.257537945,0.600711174,-0.01229044,-0.01229044,0.001765841,0,9.9,5.465,53,0.009950331,0.009950331
NA,2020,0.306751335,0.303768719,1.054707759,1.054707759,0.001765841,0,9.9,7.23,46,1.793424749,3.17847041
NA,2020,0.588096698,0.218928017,-0.01229044,-0.01229044,0.001765841,0,9.9,8.11,44,0.009950331,1.101940079
NA,2020,0.367496357,0.727972226,-0.01229044,-0.01229044,0.001765841,0,9.9,7.42,56,0.009950331,0.698134722
NA,2020,-0.538883309,-1.647567416,-0.01229044,-0.01229044,0.001765841,0,9.9,4.585,0,0.009950331,0.412109651
NA,2020,-0.105675391,-0.078014438,1.296953222,1.296953222,0.001765841,0,9.9,5.94,37,2.198335072,3.17847041
NA,2020,-0.407162525,0.261348368,-0.01229044,-0.01229044,0.001765841,0,9.9,4.997,45,0.009950331,0.009950331
NA,2020,-0.793692689,0.261348368,0.812627907,0.812627907,0.001765841,0,9.9,3.788,45,1.388791241,1.793424749
NA,2020,-1.229458292,-0.374956893,-0.01229044,-0.01229044,0.001765841,0,9.9,2.425,30,0.009950331,0.009950331
NA,2020,-0.003367986,0.049246614,-0.01229044,-0.01229044,0.001765841,0,9.9,6.26,40,0.009950331,0.009950331
NA,2020,0.011338703,0.643131525,-0.01229044,-0.01229044,0.001765841,0,9.9,6.306,54,0.009950331,0.009950331
NA,2020,-0.713125608,1.406697838,0.095798913,0.095798913,0.001765841,0,9.9,4.04,72,0.19062036,0.19062036
NA,2020,2.015604708,0.38860942,-0.01229044,-0.01229044,0.001765841,0,9.9,12.575,48,0.009950331,0.009950331
NA,2020,-0.231321673,1.237016435,-0.01229044,-0.01229044,0.001765841,0,9.9,5.547,68,0.009950331,0.009950331
NA,2020,-0.936923056,-1.647567416,-0.421084872,-0.421084872,0.001765841,0,9.9,3.34,0,-0.673344553,1.611435915
NA,2020,1.061268446,-1.350624961,0.399429234,0.399429234,0.001765841,0,9.9,9.59,7,0.698134722,0.698134722
NA,2020,2.018801814,-0.671899349,-0.01229044,-0.01229044,0.001765841,0,9.9,12.585,23,0.009950331,2.862772146
NA,2020,-1.016850716,-1.138523207,-0.01229044,-0.01229044,0.001765841,0,9.9,3.09,12,0.009950331,0.009950331
NA,2020,1.79180726,-0.799160401,1.389081994,1.389081994,0.001765841,0,9.9,11.875,20,2.352327185,3.737907685
NA,2020,0.536942996,0.006826263,-0.01229044,-0.01229044,0.001765841,0,9.9,7.95,39,0.009950331,0.698134722
NA,2020,-1.633892252,1.533958891,-0.01229044,-0.01229044,0.001765841,0,9.9,1.16,75,0.009950331,0.009950331
NA,2020,-0.08009854,0.134087316,-0.01229044,-0.01229044,0.001765841,0,9.9,6.02,42,0.009950331,0.009950331
NA,2020,-0.923495209,-1.647567416,-0.01229044,-0.01229044,0.001765841,0,9.9,3.382,0,0.009950331,0.009950331
NA,2020,0.655235933,0.812812928,1.054707759,1.054707759,0.001765841,0,9.9,8.32,58,1.793424749,4.060615409
NA,2020,-0.756286544,0.855233279,-0.01229044,-0.01229044,0.001765841,0,9.9,3.905,59,0.009950331,0.009950331
NA,2020,-0.817031566,-1.562726715,0.641013629,0.641013629,0.001765841,0,9.9,3.715,2,1.101940079,1.947337701
NA,2020,-0.471744074,-0.502217946,-0.01229044,-0.01229044,0.001765841,0,9.9,4.795,27,0.009950331,0.009950331
NA,2020,-0.500518032,-1.180943558,-0.01229044,-0.01229044,0.001765841,0,9.9,4.705,11,0.009950331,0.009950331
NA,2020,-1.061610206,-1.647567416,-2.773375898,-2.773375898,0.001765841,0,9.9,2.95,0,-4.605170186,-4.605170186
NA,2020,-1.463806192,-0.078014438,-0.01229044,-0.01229044,0.001765841,0,9.9,1.692,37,0.009950331,0.009950331
NA,2020,0.512005566,0.727972226,-0.01229044,-0.01229044,0.001765841,0,9.9,7.872,56,0.009950331,0.009950331
NA,2020,0.081355333,-1.096102856,-0.01229044,-0.01229044,0.001765841,0,9.9,6.525,13,0.009950331,0.009950331
NA,2021,-0.833017098,0.643131525,-0.01229044,-0.01229044,0.001765841,0,9.9,3.665,54,0.009950331,0.009950331
NA,2021,2.252190582,1.406697838,0.8829281,0.8829281,0.001765841,0,9.9,13.315,72,1.506297154,2.862772146
NA,2021,0.226823675,0.006826263,-2.773375898,-2.773375898,0.001765841,0,9.9,6.98,39,-4.605170186,0.009950331
NA,2021,-0.972091227,-0.75674005,-0.01229044,-0.01229044,0.001765841,0,9.9,3.23,21,0.009950331,1.611435915
NA,2021,-0.865947294,0.176507666,0.228309182,0.228309182,0.001765841,0,9.9,3.562,43,0.412109651,0.412109651
NA,2021,1.532841641,-1.647567416,-2.773375898,-2.773375898,0.001765841,0,9.9,11.065,0,-4.605170186,-4.605170186
NA,2021,3.147380375,-0.120434789,0.8829281,0.8829281,0.001765841,0,9.9,16.115,36,1.506297154,2.862772146
NA,2021,-0.153631987,1.533958891,-0.421084872,-0.421084872,0.001765841,0,9.9,5.79,75,-0.673344553,0.009950331
NA,2021,1.035691595,0.176507666,1.054707759,1.054707759,0.001765841,0,9.9,9.51,43,1.793424749,3.555633735
NA,2021,-0.463751308,1.109755383,-2.773375898,-2.773375898,0.001765841,0,9.9,4.82,65,-4.605170186,-4.605170186
NA,2021,-0.377109725,1.746060644,-2.773375898,-2.773375898,0.001765841,0,9.9,5.091,80,-4.605170186,1.101940079
NA,2021,0.073362567,-1.477886013,-2.773375898,-2.773375898,0.001765841,0,9.9,6.5,4,-4.605170186,-4.605170186
NA,2021,-0.355049691,-1.477886013,0.641013629,0.641013629,0.001765841,0,9.9,5.16,4,1.101940079,1.611435915
NA,2021,1.689499855,-1.605147066,1.516747367,1.516747367,0.001765841,0,9.9,11.555,1,2.565718293,4.127295662
NA,2021,0.829478232,-0.417377244,1.416887621,1.416887621,0.001765841,0,9.9,8.865,29,2.398803951,3.737907685
NA,2021,0.911004445,-0.20527549,0.399429234,0.399429234,0.001765841,0,9.9,9.12,34,0.698134722,1.101940079
NA,2021,-0.305494541,1.109755383,-0.718926377,-0.718926377,0.001765841,0,9.9,5.315,65,-1.171182982,-0.673344553
NA,2021,0.003026227,-0.968841804,1.054707759,1.054707759,0.001765841,0,9.9,6.28,16,1.793424749,3.555633735
NA,2021,-1.37332808,0.558290823,-0.01229044,-0.01229044,0.001765841,0,9.9,1.975,52,0.009950331,0.009950331
NA,2021,-0.858593949,1.024914682,0.812627907,0.812627907,0.001765841,0,9.9,3.585,63,1.388791241,3.555633735
NA,2021,-0.504993981,-0.078014438,0.732953255,0.732953255,0.001765841,0,9.9,4.691,37,1.255616037,2.63977136
NA,2021,1.737456451,0.558290823,-0.01229044,-0.01229044,0.001765841,0,9.9,11.705,52,0.009950331,1.388791241
NA,2021,-0.431780244,0.176507666,-0.01229044,-0.01229044,0.001765841,0,9.9,4.92,43,0.009950331,0.698134722
NA,2021,-0.855396843,1.873321697,1.054707759,1.054707759,0.001765841,0,9.9,3.595,83,1.793424749,3.17847041
NA,2021,-1.411693357,0.431029771,-0.01229044,-0.01229044,0.001765841,0,9.9,1.855,49,0.009950331,1.101940079
NA,2021,2.453608285,0.38860942,-0.01229044,-0.01229044,0.001765841,0,9.9,13.945,48,0.009950331,0.009950331
NA,2021,-1.214751603,-0.841580752,-0.01229044,-0.01229044,0.001765841,0,9.9,2.471,19,0.009950331,0.009950331
